ID,英文名稱,中文名稱,圖片,場所標示類別,備註,更新日期
1502607,Investigation Room,鑑識室,,值勤及駐衛警,,2012-11-26
1502608,Forensic Sciences Resources,鑑識器材室,,值勤及駐衛警,,2012-11-26
1502609,Civil Defense Team,防護隊,,值勤及駐衛警,,2012-11-26
1502610,Task Force,任務隊,,值勤及駐衛警,,2012-11-26
1502611,Special Weapons And Tactics (SWAT),霹靂小組,,值勤及駐衛警,,2012-11-26
1502612,Fingerprint Authentication,指紋辨識系統查驗,,值勤及駐衛警,,2012-11-26
1502613,Detection Team,偵檢隊,,值勤及駐衛警,,2012-11-26
1502614,Militia,自衛隊,,值勤及駐衛警,,2012-11-26
1502615,Security Control Center,安全管制中心,,值勤及駐衛警,,2012-11-26
1502616,Online Registration,線上登錄室,,值勤及駐衛警,,2012-11-26
1502617,Dispatch Center Berth,勤務中心寢室,,值勤及駐衛警,,2012-11-26
1502618,Firearms Elimination Unit,肅槍組,,值勤及駐衛警,,2012-11-26
1502619,Anti-crime Unit,檢肅組,,值勤及駐衛警,,2012-11-26
1502620,Duty Standby Room (Use Symbol -- Women) ,女備勤室,,值勤及駐衛警,,2012-11-26
1502621,Retired Police Officers’ Association,退警協會,,值勤及駐衛警,,2012-11-26
1502622,Duty Room,守衛值班室,,值勤及駐衛警,,2012-11-26
1502623,Security Inspection Area,安檢區,,值勤及駐衛警,,2012-11-26
1502624,Administration Center,行政中心,,行政作業,,2012-11-26
1502625,Administrative Office,行政辦公室,,行政作業,,2012-11-26
1502626,Assistants Office,助理室,,行政作業,,2012-11-26
1502627,Tender Documents Reception Desk,投標文件收受櫃台,,行政作業,,2012-11-26
1502628,Bidding Box,投標箱,,行政作業,,2012-11-26
1502629,Film Processing Room,沖片室,,行政作業,,2012-11-26
1502630,Vehicle Dispatch Room,車輛調度室,,值勤及駐衛警,,2012-11-26
1502631,Civil Defence Broadcasting Room,防情報務室,,值勤及駐衛警,,2012-11-26
1502632,Typhoon Emergency Duty Room,防颱中心值日室,,值勤及駐衛警,,2012-11-26
1502633,Case Officer,受理人,,行政作業,,2012-11-26
1502634,Evening Office,夜間辦公室,,行政作業,,2012-11-26
1502635,Case Officer,承辦人,,行政作業,,2012-11-26
1502636,Tender Bonds Reception Counter,押標金收退櫃台,,行政作業,,2012-11-26
1502637,Office Hours,服務時間,,行政作業,,2012-11-26
1502638,Direct Investigation Room,直接調查室,,行政作業,,2012-11-26
1502639,Social Work Office,社區工作室,,行政作業,,2012-11-26
1502640,Clubs Office,社團聯合辦公室,,行政作業,,2012-11-26
1502641,Forms Processing Center,表單處理中心,,行政作業,,2012-11-26
1502642,Quality Control Office,品管辦公室,,行政作業,,2012-11-26
1502643,Excavation Center,挖管中心,,行政作業,,2012-11-26
1502644,Decision Making Room,首長決策室,,行政作業,,2012-11-26
1502645,Duty Counter,值班台,,值勤及駐衛警,,2012-11-26
1502646,Duty Desk,值班桌,,值勤及駐衛警,,2012-11-26
1502647,Family Planning Office,家庭計畫婦幼衛生室,,值勤及駐衛警,,2012-11-26
1502648,Blueprint Room,晒圖室,,行政作業,,2012-11-26
1502649,Special Education Office,特殊教育辦公室,,行政作業,,2012-11-26
1502650,Aerial Photographs Room,航空照片室,,行政作業,,2012-11-26
1502651,Cases Recording Area,送審案件登錄區,,行政作業,,2012-11-26
1502652,Video Editing Room,剪輯室,,行政作業,,2012-11-26
1502653,Area Distribution Center,區域調度中心,,行政作業,,2012-11-26
1502654,Special Assignment Office,專案辦公室,,行政作業,,2012-11-26
1502655,Colors Film Processing Room,彩色沖片室,,行政作業,,2012-11-26
1502656,Editors’ Office,採編室,,行政作業,,2012-11-26
1502657,Training Materials and Scheduling Room,教育管制室,,行政作業,,2012-11-26
1502658,Sci-Tech Business Information Room,產業情報室,,行政作業,,2012-11-26
1502659,Unified Procurement Center,統一採購中心,,行政作業,,2012-11-26
1502660,Back-up Systems Center,備援中心,,值勤及駐衛警,,2012-11-26
1502661,Occupational Safety and Hygiene Office,勞工安全衛生室,,行政作業,,2012-11-26
1502662,Museum Office,博物館辦公室,,行政作業,,2012-11-26
1502663,Media Production Room,媒體製作室,,行政作業,,2012-11-26
1502664,Surveillance Camera,港區監視器,,值勤及駐衛警,,2012-11-26
1502665,Spokesperson's Office,發言人室,,行政作業,,2012-11-26
1502666,Audiovisual Center,視聽中心,,行政作業,,2012-11-26
1502667,Audiovisual Program Preparation Room,視聽教材製作室,,行政作業,,2012-11-26
1502668,Recording Room,視聽錄音室,,行政作業,,2012-11-26
1502669,Bidding Room,開標室,,行政作業,,2012-11-26
1502670,Fax No.,傳真機號碼,,行政作業,,2012-11-26
1502671,Invoice Archives,傳票檔案室,,行政作業,,2012-11-26
1502672,Microform Materials,微縮資料區,,行政作業,,2012-11-26
1502673,Press Room,新聞發佈室,,行政作業,,2012-11-26
1502674,Darkroom,暗房沖洗室,,行政作業,,2012-11-26
1502675,Volunteers,義工辦公室,,行政作業,,2012-11-26
1502676,Data Processing Room,資料處理室,,行政作業,,2012-11-26
1502677,Mail and Computer Room,資訊收發室,,行政作業,,2012-11-26
1502678,Communication Room,電報室,,行政作業,,2012-11-26
1502679,Data Tape Backup Room,磁帶備援室,,行政作業,,2012-11-26
1502680,General Affairs Area,綜合業務區,,行政作業,,2012-11-26
1502681,Network Support Center,網路支援中心,,行政作業,,2012-11-26
1502682,Network Management Center,網路管理中心,,行政作業,,2012-11-26
1502683,Odor-testing Room,聞臭室,,行政作業,,2012-11-26
1502684,Tendering Room,領標室,,行政作業,,2012-11-26
1502685,Broadcasting Room,廣播室,,行政作業,,2012-11-26
1502686,Copying Area,影印區,,行政作業,,2012-11-26
1502687,Tender Document Sales,標單發售處,,行政作業,,2012-11-26
1502688,Line Construction Center,線路建設中心,,行政作業,,2012-11-26
1502689,On Leave,請假,,行政作業,,2012-11-26
1502690,Operation Room,操作室,,行政作業,,2012-11-26
1502691,Office Hours,辦公時間,,行政作業,,2012-11-26
1502692,Office Hours：8:00A.M. to 5:30P.M.  Monday to Friday,辦公時間：平日上午八時至下午五時三十分，週六、日及例假日不辦公/星期一至星期五上午8：30～下午5：00,,行政作業,,2012-11-26
1502693,Project Engineer for Longmen Construction,龍門PE室,,行政作業,,2012-11-26
1502694,Archives,檔案室,,行政作業,,2012-11-26
1502695,Auditing Office,檢核室,,行政作業,,2012-11-26
1502696,Reserve Management Room,調度室  ,,行政作業,中央銀行,2012-11-26
1502697,Mail Room (Inbound),總收文/收文室/收文,,行政作業,,2012-11-26
1502698,Mail Room (Outbound),總發文/發文室/發文,,行政作業,,2012-11-26
1502699,Liaison Office,聯絡室,,行政作業,,2012-11-26
1502700,Examination Preparation Area,闈場,,值勤及駐衛警,,2012-11-26
1502701,Translation Room,翻譯室,,行政作業,,2012-11-26
1502702,Substitute Staff,職務代理人,,行政作業,,2012-11-26
1502703,Relay Room,轉播室,,行政作業,,2012-11-26
1502704,Drafting Room,繪圖室,,行政作業,,2012-11-26
1502705,Security (Counter),警衛台,,行政作業,,2012-11-26
1502706,TV Studio,攝影棚,,行政作業,,2012-11-26
1502707,_______ County Service Center,縣民服務中心,,服務諮詢申訴,,2012-11-26
1502708,Response to Public Suggestions,民眾反應意見處理情形公告欄,,服務諮詢申訴,,2012-11-26
1502709,Single Parent Family Service Center,單親家庭服務中心,,服務諮詢申訴,,2012-11-26
1502710,Paging,廣播服務,,服務諮詢申訴,,2012-11-26
1502711,KMT Service Center / Community Service Center,民眾服務社,,服務諮詢申訴,,2012-11-26
1502712,Visits to Sheltered Juveniles,未成年交往會面處所,,服務諮詢申訴,,2012-11-26
1502713,Childcare Resource Center,保母資源中心,,服務諮詢申訴,,2012-11-26
1502714,Youth & Family Counseling Center,兒童少年家庭諮商服務中心,,服務諮詢申訴,,2012-11-26
1502715,Form Completion Assistance,代填書表,,服務諮詢申訴,,2012-11-26
1502716,Form Completion Assistance,輔導民眾填寫申辦資料,,服務諮詢申訴,,2012-11-26
1502717,Courtesy Copy Services,免費提供申辦資料影印,,服務諮詢申訴,,2012-11-26
1502718,Public Phone Cards on Sale,電話卡代售服務處,,服務諮詢申訴,,2012-11-26
1502719,Uncontested Fine Payment,簡易裁罰窗口,,服務諮詢申訴,,2012-11-26
1502720,Home Care,居家服務,,服務諮詢申訴,,2012-11-26
1502721,Tunnel Rest Area,隧道服務區,,服務諮詢申訴,,2012-11-26
1502722,Automated Telephone Services Online Banking Automatic Bill Payment Applications,電話語音服務、網路銀行服務、各項委託代繳申請,,服務諮詢申訴,,2012-11-26
1502723,Customer Complaints Hotline,顧客申訴專線,,服務諮詢申訴,,2012-11-26
1502724,24-Hour Service Line: 23619363,24小時電話銀行服務專線：23619363,,服務諮詢申訴,,2012-11-26
1502725,General Business Information and Customer Services,一般業務諮詢及顧客服務,,服務諮詢申訴,,2012-11-26
1502726,Appeals Reception Room,人民陳情室,,服務諮詢申訴,,2012-11-26
1502727,Factory Management and Services,工廠管理與輔導,,服務諮詢申訴,,2012-11-26
1502728,Small and Medium Enterprises Service Center,中小企業服務中心,,服務諮詢申訴,,2012-11-26
1502729,Zoning Certification Services,分區使用證明服務台,,服務諮詢申訴,,2012-11-26
1502730,Counseling Center,心理諮商中心,,服務諮詢申訴,,2012-11-26
1502731,Counseling Room,心輔室,,服務諮詢申訴,,2012-11-26
1502732,Car Booking,代客叫車,,服務諮詢申訴,,2012-11-26
1502733,Independent Living Services,外住榮民服務,,服務諮詢申訴,,2012-11-26
1502734,Local Phone Services,市內電話服務,,服務諮詢申訴,,2012-11-26
1502735,Internet Service Area,民眾電腦查詢區,,服務諮詢申訴,,2012-11-26
1502736,Eco-Recreational Information Hall,生態遊憩館,,服務諮詢申訴,,2012-11-26
1502737,Complaints Room,申訴中心懇談室,,服務諮詢申訴,,2012-11-26
1502738,Petitions,申訴窗口,,服務諮詢申訴,,2012-11-26
1502739,Business Network Services,企業網路整體服務,,服務諮詢申訴,,2012-11-26
1502740,National Health Insurance Service,全民健保受理(服務)處,,服務諮詢申訴,,2012-11-26
1502741,Multimedia Visitors Information,多媒體導覽系統,,服務諮詢申訴,,2012-11-26
1502742,Self-service Post Office,自助郵局,,服務諮詢申訴,,2012-11-26
1502743,Baggage Service Items,行李服務項目,,服務諮詢申訴,,2012-11-26
1502744,Service Hours:,作業時間：,,服務諮詢申訴,,2012-11-26
1502745,Toll-free Complaint Line,免費檢舉電話,,服務諮詢申訴,,2012-11-26
1502746,Military Service ,兵役業務櫃檯,,服務諮詢申訴,,2012-11-26
1502747,Volunteer Service (Counter),志工服務台,,服務諮詢申訴,,2012-11-26
1502748,Expedited Service Counter,快速通關櫃台,,服務諮詢申訴,,2012-11-26
1502749,First Technical Labor Service Team,技術勞務一(二)隊,,服務諮詢申訴,,2012-11-26
1502750,Employment Services Center,求才求職服務中心,,服務諮詢申訴,,2012-11-26
1502751,Disabled Service,身心障礙服務 ,,服務諮詢申訴,,2012-11-26
1502752,Fuel Distribution Center,供油服務中心,,服務諮詢申訴,,2012-11-26
1502753,Other Services,其他服務事項,,服務諮詢申訴,,2012-11-26
1502754,Service Hours,受理案件時間,,服務諮詢申訴,,2012-11-26
1502755,Pager Services,呼叫器,,服務諮詢申訴,,2012-11-26
1502756,Sexual Harassment Complaints,性騷擾申訴信箱,,服務諮詢申訴,,2012-11-26
1502757,Service Staff,服務人員,,服務諮詢申訴,,2012-11-26
1502758,Service Staff Processing,服務人員答覆,,服務諮詢申訴,,2012-11-26
1502759,Information / Service Counter,服務台(處),,服務諮詢申訴,,2012-11-26
1502760,Service Line: 25976699,服務專線：25976699,,服務諮詢申訴,,2012-11-26
1502761,Services / Service Items,服務項目,,服務諮詢申訴,,2012-11-26
1502762,Table of Service Offices,服務項目申辦處所一覽表,,服務諮詢申訴,,2012-11-26
1502763,Ring for Service,服務鈴,,服務諮詢申訴,,2012-11-26
1502764,Legal Information / Legal Counseling,法令諮詢,,服務諮詢申訴,,2012-11-26
1502765,Legal Aid Service,法律扶助服務,,服務諮詢申訴,,2012-11-26
1502766,Legal Counseling Center,法律諮詢服務處,,服務諮詢申訴,,2012-11-26
1502767,Wholesale Business Center,直銷服務中心,,服務諮詢申訴,,2012-11-26
1502768,Social Workers’ Room,社工室,,服務諮詢申訴,,2012-11-26
1502769,Welfare Information Center,社福家庭諮詢服務中心,,服務諮詢申訴,,2012-11-26
1502770,Long Distance Services,長途電話業務,,服務諮詢申訴,,2012-11-26
1502771,Insurance Counter,保險櫃台,,服務諮詢申訴,,2012-11-26
1502772,Customer Service Center,客服中心,,服務諮詢申訴,,2012-11-26
1502773,Directory Assistance Center,查號中心,,服務諮詢申訴,,2012-11-26
1502774,Reader Services / Circulation Desk,流通台,,服務諮詢申訴,,2012-11-26
1502775,Citizen Service Center,為民服務中心,,服務諮詢申訴,,2012-11-26
1502776,Citizen Services Room,為民服務室,,服務諮詢申訴,,2012-11-26
1502777,Suggestions,員工意見箱 ,,服務諮詢申訴,,2012-11-26
1502778,Passenger Service Center,旅客服務中心,,服務諮詢申訴,,2012-11-26
1502779,Passenger Service Charge Window,旅客服務費繳費處,,服務諮詢申訴,,2012-11-26
1502780,Tourist Information Center,旅遊服務中心,,服務諮詢申訴,,2012-11-26
1502781,Consumers Service Center,消費者服務中心,,服務諮詢申訴,,2012-11-26
1502782,Aviation Fuel Service Station,航油站,,服務諮詢申訴,,2012-11-26
1502783,Joint Business Services Center,高雄市工商聯合服務中心,,服務諮詢申訴,,2012-11-26
1502784,Marriage Hotline,婚姻專線,,服務諮詢申訴,,2012-11-26
1502785,Hotline Services Room,專線服務室,,服務諮詢申訴,,2012-11-26
1502786,Investor Services,設廠投資窗口,,服務諮詢申訴,,2012-11-26
1502787,Complaints Desk / Window / Center,陳情中心,,服務諮詢申訴,,2012-11-26
1502788,"For application, please go to the information counter.",單一窗口案件申請在服務台,,服務諮詢申訴,,2012-11-26
1502789,Employment Service Station,就業服務站,,服務諮詢申訴,,2012-11-26
1502790,Medical Care Service,就醫服務,,服務諮詢申訴,,2012-11-26
1502791,Intelligent Network Services,智慧型網路業務,,服務諮詢申訴,,2012-11-26
1502792,Special Service Counter,貼心服務專櫃,,服務諮詢申訴,,2012-11-26
1502793,Forms Completion / Copying Service,填表協助/影印,,服務諮詢申訴,,2012-11-26
1502794,Special Service Desk / Station,愛心服務台/站,,服務諮詢申訴,,2012-11-26
1502795,Referral Services,愛心轉介,,服務諮詢申訴,,2012-11-26
1502796,Information,業務諮詢處,,服務諮詢申訴,,2012-11-26
1502797,Information,詢問台/處,,服務諮詢申訴,,2012-11-26
1502798,Violation Complaints Submission Room,違規陳述室,,服務諮詢申訴,,2012-11-26
1502799,Automatic Telephone Information,電話語音查詢專線,,服務諮詢申訴,,2012-11-26
1502800,Call Service,電話諮詢服務,,服務諮詢申訴,,2012-11-26
1502801,Service Hours,預售時間,,服務諮詢申訴,,2012-11-26
1502802,Group Counseling Room,團體諮商室,,服務諮詢申訴,,2012-11-26
1502803,Evaluation and Counseling Room,綜合評估暨諮詢服務室,,服務諮詢申訴,,2012-11-26
1502804,Audio Tour,語音導覽服務,,服務諮詢申訴,,2012-11-26
1502805,Counseling Room,輔導室,,服務諮詢申訴,,2012-11-26
1502806,Banking Services,銀行收付處,,服務諮詢申訴,,2012-11-26
1502807,Paging Service,播音尋人,,服務諮詢申訴,,2012-11-26
1502808,Copying Service,影印服務,,服務諮詢申訴,,2012-11-26
1502809,Satellite Services,衛星通信業務服務,,服務諮詢申訴,,2012-11-26
1502810,Appeals Reception Room,請願接待室,,服務諮詢申訴,,2012-11-26
1502811,Student Service Office,學生服務室,,服務諮詢申訴,,2012-11-26
1502812,Integrated Services Digital Network,整體服務數位網路服務,,服務諮詢申訴,,2012-11-26
1502813,Immediately Upon Request,隨到隨辦,,服務諮詢申訴,,2012-11-26
1502814,Complaints,檢舉信箱,,服務諮詢申訴,,2012-11-26
1502815,Business Management and Services,營利事業管理與輔導,,服務諮詢申訴,,2012-11-26
1502816,Services / Service Items,營業項目,,服務諮詢申訴,,2012-11-26
1502817,Environmental Protection Services Center,環保報案服務中心,,服務諮詢申訴,,2012-11-26
