ID,英文名稱,中文名稱,圖片,學門,更新時間,更新日期
5453906,acrophyll,頂生葉,,生態學,,2022-07-15
5453907,acrophyta,高山植物,,生態學,,2022-07-15
5453908,acrophytia,高山植物群落,,生態學,,2022-07-15
5453909,acrosin,頂體蛋白；頂體素,,免疫學,,2022-07-15
5453910,acrosomal reaction; acrosome reaction,頂體反應,,細胞生物,,2022-07-15
5453911,acrosomal vesicle,頂體囊泡,,細胞生物,,2022-07-15
5453912,acrosome,頂體,,高中生物,,2022-07-15
5453913,acrosome reaction; acrosomal reaction,頂體反應,,細胞生物,,2022-07-15
5453914,acrosomic granule; acroblast,原頂體；中胚葉外層；尖形母體,,細胞生物,,2022-07-15
5453915,acrospore,頂生孢子,,植物,,2022-07-15
5453916,acrostichal bristle,前背中剛毛,,昆蟲學,,2022-07-15
5453917,acrosynapsis; acrosyndesis,端部聯會,,細胞生物,,2022-07-15
5453918,acrosyndesis; acrosynapsis,端部聯會,,細胞生物,,2022-07-15
5453919,acrotergite; pretergite,背板緣片；端背片,,昆蟲學,,2022-07-15
5453920,acrylamide,丙烯醯胺,,蛋白質體,,2022-07-15
5453921,acrylic acid,丙烯酸,,食品科技,,2022-07-15
5453922,acrylonitrile-butadiene-styrene resin {= ABS resin},丙烯腈-丁二烯-苯乙烯樹脂；ABS樹脂,,食品科技,,2022-07-15
5453923,ACTH {adrenocorticotropin; adrenocorticotropic hormone},促腎上腺皮質[激]素；腎上腺皮質促素；皮促素,,生命科學,,2022-07-15
5453924,ACTH-related peptide hormone,ACTH系肽激素,,內分泌學,,2022-07-15
5453925,actic,潮區,,生態學,,2022-07-15
5453926,actidione; cycloheximide,放線菌酮；環己醯亞胺,,食品科技,,2022-07-15
5453927,actin,肌動蛋白,,高中生物,,2022-07-15
5453928,actin depolymerizing factor {= ADF},肌動蛋白去聚合因子,,細胞生物,,2022-07-15
5453929,actin filament; microfilament,肌動蛋白絲；微絲,,細胞生物,,2022-07-15
5453930,actin-binding protein,肌動蛋白結合蛋白,,細胞生物,,2022-07-15
5453931,actinic,具光化性的；有光化學的,,植物,,2022-07-15
5453932,Actinidia,獼猴桃屬,,食品科技,,2022-07-15
5453933,actiniform; actinoform,輻射狀,,植物,,2022-07-15
5453934,actinin,輔肌動蛋白,,細胞生物,,2022-07-15
5453935,actinism,射線作用,,食品科技,,2022-07-15
5453936,actinistia,腔棘魚亞綱,,Life,,2022-07-15
5453937,actinochemistry,射線化學,,植物,,2022-07-15
5453938,actinocongestin; congestin,海葵毒素,,細菌免疫,,2022-07-15
5453939,actinoform; actiniform,輻射狀,,植物,,2022-07-15
5453940,actinogen,射線源,,植物,,2022-07-15
5453941,actinogenesis,射線生成,,植物,,2022-07-15
5453942,actinogenic,產生射線的,,植物,,2022-07-15
5453943,actinolysin,放線菌溶素,,食品科技,,2022-07-15
5453944,actinometer,測光計；光量計,,,,2022-07-15
5453945,actinometry,射線測定[法]；光量測定[法],,,,2022-07-15
5453946,actinomorphic,輻射狀[的]；輻射對稱[的],,植物,,2022-07-15
5453947,actinomorphy; radial symmetry,輻射對稱,,植物學,,2022-07-15
5453948,Actinomyces,放線菌屬,,微生物學,,2022-07-15
5453949,actinomycete,放線菌,,微生物學,,2022-07-15
5453950,actinomycetic,放線菌的,,植物,,2022-07-15
5453951,actinomycin,放線菌素,,食品科技,,2022-07-15
5453952,actinomycin D,放線菌素D,,細胞生物,,2022-07-15
5453953,actinomycosis,放線菌病,,食品科技,,2022-07-15
5453954,actinophage,放線菌噬菌體,,藥學,,2022-07-15
5453955,actinostele,星狀中柱；輻射狀中柱,,植物,,2022-07-15
5453956,actin-related protein {= ARP},肌動蛋白相關蛋白,,細胞生物,,2022-07-15
5453957,action potential,動作電位,,高中生物,,2022-07-15
5453958,action spectrum,作用光譜,,高中生物,,2022-07-15
5453959,action threshold; control threshold,防治閾值,,生態學,,2022-07-15
5453960,activated carrier,活化載體,,食品科技,,2022-07-15
5453961,activated macrophage,活化[的]巨噬細胞,,免疫學,,2022-07-15
5453962,activated sludge,活性汙泥,,生態學,,2022-07-15
5453963,activated state,活化態,,食品科技,,2022-07-15
5453964,activating transcription factor {= ATF},轉錄活化因子,,生化分生,,2022-07-15
5453965,activation,活化,,高中生物,,2022-07-15
5453966,activation barrier,活化障礙,,生物資訊,,2022-07-15
5453967,activation cascade,活化級聯反應,,生物學,,2022-07-15
5453968,activation domain,活化域,,細胞生物,,2022-07-15
5453969,activation energy {= EA},活化能,,高中生物,,2022-07-15
5453970,activation gate,活化閘,,Life,,2022-07-15
5453971,activation loop,活化環,,<p>結構生物</p>,,2022-07-15
5453972,activator,活化蛋白；活化物,,大一普生,,2022-07-15
5453973,activator protein,活化蛋白,,細胞生物,,2022-07-15
5453974,active absorption; active uptake,主動吸收,,高中生物,,2022-07-15
5453975,active acidity,活性酸度,,生態學,,2022-07-15
5453976,active adaptation,主動適應,,生態學,,2022-07-15
5453977,active cassette,活性匣,,遺傳分生,,2022-07-15
5453978,active center,活性中心,,藥學,,2022-07-15
5453979,active depression,主動衰退,,生態學,,2022-07-15
5453980,active form,活化型,,高中生物,,2022-07-15
5453981,active humus,活性腐植質,,生態學,,2022-07-15
5453982,active immunity,主動免疫,,高中生物,,2022-07-15
5453983,active immunization,主動免疫[接種],,免疫學,,2022-07-15
5453984,active ingredient,活性成分,,昆蟲學,,2022-07-15
5453985,active nutritive period,活躍營養期；有效營養期,,生態學,,2022-07-15
5453986,active site,活性位,,高中生物,,2022-07-15
5453987,active transport,主動運輸,,高中生物,,2022-07-15
5453988,active uptake; active absorption,主動吸收,,植物學,,2022-07-15
5453989,active zone,活化區 {神經軸突},,細胞生物,,2022-07-15
5453990,activin,促進素,,生化分生,,2022-07-15
5453991,activity,活性,,高中生物,,2022-07-15
5453992,activity coefficient,活性係數,,生化原理,,2022-07-15
5453993,activity radius,活動半徑,,生態學,,2022-07-15
5453994,activity test,活性試驗,,食品科技,,2022-07-15
5453995,actomere,肌動蛋白粒,,細胞生物,,2022-07-15
5453996,actomyosin,肌動凝蛋白,,細胞生物,,2022-07-15
5453997,actophorin,肌動蛋白絲解聚[合]因子；載肌動蛋白,,細胞生物,,2022-07-15
5453998,actual density,實測密度,,生態學,,2022-07-15
5453999,actual evaporation,實際蒸發量,,生物多樣性,,2022-07-15
5454000,actual evaportranspiration {= AET},實際蒸散；實際蒸發散量,,生態學,,2022-07-15
5454001,actual vegetation,現存植被,,生態學,,2022-07-15
5454002,aculeate,有刺的,,植物,,2022-07-15
5454003,aculeolus,小刺,,植物,,2022-07-15
5454004,aculeus,刺,,植物,,2022-07-15
5454005,acumen,漸尖頭；尖頭,,植物,,2022-07-15
5454006,acuminate,漸尖的,,植物,,2022-07-15
5454007,acute,尖形的 {動植物}；尖頭 {動植物}；急性的,,植物,,2022-07-15
5454008,acute disseminated encephalomyelitis,急性瀰漫性腦脊髓炎,,免疫學,,2022-07-15
5454009,acute dosage; acute dose,急性[中毒]劑量,,生態學,,2022-07-15
5454010,acute dose; acute dosage,急性[中毒]劑量,,生態學,,2022-07-15
5454011,acute inflammatory demyelinating polyneuropathy,急性發炎去髓鞘型多發性神經病變,,免疫學,,2022-07-15
5454012,acute intermittent porphyria,急性間歇性紫質症,,生化索引,,2022-07-15
5454013,acute intoxication,急性中毒,,生態學,,2022-07-15
5454014,acute lymphocytic leukemia,急性淋巴球白血病,,免疫學,,2022-07-15
5454015,acute myelogenous leukemia,急性骨髓性白血病,,免疫學,,2022-07-15
5454016,acute rejection,急性排斥,,免疫學,,2022-07-15
5454017,acute threshold concentration,急性閾濃度,,藥學,,2022-07-15
5454018,acute threshold dose,急性閾劑量,,藥學,,2022-07-15
5454019,acute toxicity,急性毒性；急性毒作用,,生態學,,2022-07-15
5454020,acute toxicity test,急性毒性試驗,,生態學,,2022-07-15
5454021,acycloguanosine; acyclovir,無環鳥[糞][核]苷,,細生組,,2022-07-15
5454022,acyclovir;  acycloguanosine,無環鳥[糞][核]苷,,細生組,,2022-07-15
5454023,acyl carrier protein,醯基攜載蛋白；醯基載體蛋白,,生化分生,,2022-07-15
5454024,acyl CoA,醯基輔酶A,,生化分生,,2022-07-15
5454025,acyl group,醯基,,食品科技,,2022-07-15
5454026,acyl phosphate,醯基磷酸鹽,,生化原理,,2022-07-15
5454027,acylase; amidase,醯胺酶,,生化分生,,2022-07-15
5454028,acylation,醯[基]化,,生化索引,,2022-07-15
5454029,acylcholesterol acyltransferase,醯基膽固醇醯基轉移酶,,分子檢驗,,2022-07-15
5454030,acylglycerol,醯[基]甘油,,食品科技,,2022-07-15
5454031,acylneuraminate,醯基神經胺酸鹽,,生化分生,,2022-07-15
5454032,acyltransferase; transacylase,轉醯基酶；醯基轉移酶,,生化分生,,2022-07-15
5454033,ADA {adenosine deaminase},腺[核]苷去胺酶,,高中生物,,2022-07-15
5454034,Adam's apple,喉結,,高中生物,,2022-07-15
5454035,adaptability,適應性,,生態學,,2022-07-15
5454036,adaptation,適應,,高中生物,,2022-07-15
5454037,adaptation tolerance,適應耐性,,生態學,,2022-07-15
5454038,adaptative radiation; adaptive radiation,適應輻射；輻射性演化,,生態學,,2022-07-15
5454039,adaptative regression,適應退化,,生態學,,2022-07-15
5454040,adaptedness,適應程度,,生態學,,2022-07-15
5454041,adapter protein; adaptor protein,轉接蛋白,,細胞生物,,2022-07-15
5454042,adaptin,銜接蛋白,,生化分生,,2022-07-15
5454043,adaptive capacity,適應能力,,生態學,,2022-07-15
5454044,adaptive character,適應特性,,生態學,,2022-07-15
5454045,adaptive coloration,適應色,,生態學,,2022-07-15
5454046,adaptive compensation,適應補償,,生態學,,2022-07-15
5454047,adaptive convergence,適應趨同,,生態學,,2022-07-15
5454048,adaptive ecosystem management,適應性生態系管理,,生態學,,2022-07-15
5454049,adaptive enzyme,適應酶,,細胞生物,,2022-07-15
5454050,adaptive fishery,調適型漁業,,生態學,,2022-07-15
5454051,adaptive immunity; acquired immunity,後天性免疫；適應性免疫,,細胞生物,,2022-07-15
5454052,adaptive landscape,適應地景,,生物多樣性,,2022-07-15
5454053,adaptive radiation; adaptative radiation,適應輻射；輻射性演化,,生態學,,2022-07-15
5454054,adaptive selection,適應[性]選擇,,生態學,,2022-07-15
5454055,adaptor protein; adapter protein,轉接蛋白,,細胞生物,,2022-07-15
5454056,adaxial,近軸的；向軸的,,植物學,,2022-07-15
5454057,Adder's tongue; Ophioglossum,瓶爾小草,,植物,,2022-07-15
5454058,Addison's disease; adrenal insufficiency; hypocortisolism,艾迪森[氏]病；腎上腺皮質機能不足,,高中生物,,2022-07-15
5454059,additament,附加物；附加劑,,食品科技,,2022-07-15
5454060,addition,加成[反應]；添加[作用]；添加物,,食品科技,,2022-07-15
5454061,additional papilla,副突,,脊椎動物,,2022-07-15
5454062,additive,添加物；添加劑,,食品科技,,2022-07-15
5454063,additive genetic effect,相加性遺傳效應,,植物,,2022-07-15
5454064,additive genetic variance,相加性遺傳變方,,遺傳分生,,2022-07-15
5454065,additive recombination,相加性重組,,遺傳分生,,2022-07-15
5454066,additive variance,相加性變方,,遺傳分生,,2022-07-15
5454067,additivity,可加性,,食品科技,,2022-07-15
5454068,addressin,位址素,,免疫學,,2022-07-15
5454069,adducin,内收蛋白,,細胞生物,,2022-07-15
5454070,adduct,加合物,,食品科技,,2022-07-15
5454071,adduction,內收作用,,演化,,2022-07-15
5454072,adductor muscle,內收肌；閉殼肌,,高中生物,,2022-07-15
5454073,adecticous pupa,無顎蛹,,昆蟲學,,2022-07-15
5454074,adenine,腺嘌呤,,高中生物,,2022-07-15
5454075,adenine phosphoribosyltransferase,腺嘌呤磷酸核糖基轉移酶,,生化分生,,2022-07-15
5454076,adenoacanthoma,腺鱗狀瘤,,內分泌學,,2022-07-15
5454077,adenohypophysis; anterior pituitary,腦垂腺前葉,,生命科學,,2022-07-15
5454078,adenoid,腺樣體,,免疫學,,2022-07-15
5454079,adenoma,腺瘤,,內分泌學,,2022-07-15
5454080,adenomatous polyposis coli {= APC},腺瘤性結腸瘜肉,,細胞生物,,2022-07-15
5454081,adenomyosis,肌腺症,,內分泌學,,2022-07-15
5454082,adenonmatous polyposis coli gene {= APC gene},腺瘤結腸息肉基因,,遺傳分生,,2022-07-15
5454083,adenoregulin,腺[核]苷調節肽,,生化分生,,2022-07-15
5454084,adenosine,腺[核]苷,,高中生物,,2022-07-15
5454085,"adenosine 3',5'-cyclic monophosphate; cyclic adenosine monophosphate {= cyclic AMP; cAMP}",環腺[核]苷單磷酸,,生命科學,,2022-07-15
5454086,adenosine 5'-diphosphate {= ADP},腺[核]苷二磷酸,,高中生物,,2022-07-15
5454087,adenosine 5'-monophosphate {= AMP},腺[核]苷單磷酸,,高中生物,,2022-07-15
5454088,adenosine 5'-triphosphate {= ATP},腺[核]苷三磷酸,,高中生物,,2022-07-15
5454089,adenosine deaminase {= ADA},腺[核]苷去胺酶,,高中生物,,2022-07-15
5454090,adenosine triphosphatase; ATP phosphohydrolase {= ATPase},腺[核]苷三磷酸酶；ATP[磷酸]水解酶；ATP 酶,,,,2022-07-15
5454091,adenovirus,腺病毒,,高中生物,,2022-07-15
5454092,adenylate cyclase; adenylyl cyclase,腺苷酸環化酶,,大一普生,,2022-07-15
5454093,adenylyl cyclase; adenylate cyclase,腺苷酸環化酶,,大一普生,,2022-07-15
5454094,ADF {actin depolymerizing factor},肌動蛋白去聚合因子,,細胞生物,,2022-07-15
5454095,ADH {antidiuretic hormone; vasopressin},抗利尿素；血管加壓素,,生命科學,,2022-07-15
5454096,adherens junction; zonula adherens,黏著帶,,細胞生物,,2022-07-15
5454097,adhesion,吸附；附著,,高中生物,,2022-07-15
5454098,adhesion factor,黏著因子,,細胞生物,,2022-07-15
5454099,adhesion plaque,黏著斑；黏著點,,細胞生物,,2022-07-15
5454100,adhesion protein,附著蛋白,,細胞生物,,2022-07-15
5454101,adhesion receptor,黏著受體,,細胞生物,,2022-07-15
5454102,adhesive egg,黏著卵,,生態學,,2022-07-15
5454103,adhesive force,附著力,,高中生物,,2022-07-15
5454104,adhesive junction; anchoring junction,錨定[型]連結；固定[型]連結,,細胞生物,,2022-07-15
5454105,adiabatic bomb calorimeter,絕熱式熱量計,,生態學,,2022-07-15
5454106,adipocyte,脂肪細胞,,大一普生,,2022-07-15
5454107,adipose tissue,脂肪組織,,大一普生,,2022-07-15
5454108,adjuvant,佐劑,,細胞生物,,2022-07-15
5454109,adoptive immunity,過繼[性]免疫,,細胞生物,,2022-07-15
5454110,ADP {adenosine 5'-diphosphate},腺[核]苷二磷酸,,高中生物,,2022-07-15
5454111,ADP-ribosylation,ADP核糖基化,,細胞生物,,2022-07-15
5454112,ADP-ribosylation factor {= ARF},ADP核糖基化因子,,細胞生物,,2022-07-15
5454113,adrenal gland,腎上腺,,高中生物,,2022-07-15
5454114,adrenal insufficiency; Addison's disease; hypocortisolism,艾迪森[氏]病；腎上腺皮質機能不足,,高中生物,,2022-07-15
5454115,adrenaline; epinephrine,腎上腺素,,高中生物,,2022-07-15
5454116,adrenergic hormone,腎上腺激素,,<p>細胞生物</p>,,2022-07-15
5454117,adrenergic receptor,腎上腺素受體,,<p>細胞生物</p>,,2022-07-15
5454118,adrenergic synapse,腎上腺素突觸,,<p>細胞生物</p>,,2022-07-15
5454119,adrenocorticotropin; adrenocorticotropic hormone {= ACTH},促腎上腺皮質[激]素；腎上腺皮質促素；皮促素,,高中生物,,2022-07-15
5454120,adrenocorticotrophin {=ACTH; adrenocorticotropin; adrenocorticotrophic hormone; adrenocorticotropic hormone},促腎上腺皮質素；皮促素,,高中生物,,2019-10-31
5454121,adrenocorticotropic hormone; adrenocorticotropin {= ACTH},促腎上腺皮質[激]素；腎上腺皮質促素；皮促素,,高中生物,,2022-07-15
5454122,adrenocorticotropin {=ACTH; adrenocorticotrophin; adrenocorticotrophic hormone; adrenocorticotropic hormone},促腎上腺皮質素；皮促素,,高中生物,,2019-10-31
5454123,adsere,附加演替系列；附加消長系列,,生態學,,2022-07-15
5454124,adsorption,吸附[作用],,生態學,,2022-07-15
5454125,adult,成體；成蟲,,生態學,,2022-07-15
5454126,adult emergence,[成蟲]羽化,,生態學,,2022-07-15
5454127,adult emergence rhythm,成蟲羽化節律,,生態學,,2022-07-15
5454128,adult stem cell,成體幹細胞,,細胞生物,,2022-07-15
5454129,adventitious bud,不定芽,,植物學,,2022-07-15
5454130,adventitious root; adventive root,不定根,,高中生物,,2022-07-15
5454131,adventive flora,外來植物相,,生態學,,2022-07-15
5454132,adventive root; adventitious root,不定根,,生態學,,2022-07-15
5454133,advertising color,宣告色,,生態學,,2022-07-15
5454134,aeciospore,銹孢子,,植物學,,2022-07-15
5454135,aecium,銹孢子器,,植物學,,2022-07-15
5454136,aeolian deposit,風成沉積；風積物；風成層；風蝕沈積物,,生態學,,2022-07-15
5454137,aeolian landform,風蝕地形,,生態學,,2022-07-15
5454138,aerenchyma,通氣組織,,生態學,,2022-07-15
5454139,aerial photography,航空攝影術,,生態學,,2022-07-15
5454140,aerial population,空中族群,,生態學,,2022-07-15
5454141,aerial root,氣[生]根,,植物學,,2022-07-15
5454142,aerobe,好氧生物；需氧生物,,,,2022-07-15
5454143,aerobic,好氧[的]；有氧[的]；需氧[的],,,,2022-07-15
5454144,aerobic bacteria,好氧菌；需氧菌,,,,2022-07-15
5454145,aerobic biological treatment,好氧生物處理,,生態學,,2022-07-15
5454146,aerobic metabolism,有氧代謝,,生態學,,2022-07-15
5454147,aerobic respiration,有氧呼吸,,,,2022-07-15
5454148,aerobic treatment,好氧處理,,生態學,,2022-07-15
5454149,aerobiology,大氣生物學,,生態學,,2022-07-15
5454150,aerobiosis,需氧生活,,生態學,,2022-07-15
5454151,aerochory,風播[性],,生態學,,2022-07-15
5454152,aerodynamic method,大氣動力法,,生態學,,2022-07-15
5454153,aeropalynology,空中孢粉學,,生態學,,2022-07-15
5454154,aerophyte,氣生植物,,生態學,,2022-07-15
5454155,aerophytobiont,好氧[性]植物,,生態學,,2022-07-15
5454156,aeroplankton; air plankton; air-plankton,空中浮游生物,,生態學,,2022-07-15
5454157,aeroplanktophyte,空中浮游植物,,生態學,,2022-07-15
5454158,aerosol,氣溶膠；氣膠,,生態學,,2022-07-15
5454159,aerotaxis,趨氣性,,生態學,,2022-07-15
5454160,aerotolerant,耐氣性,,生態學,,2022-07-15
5454161,aerotropism,向氧性；向氣性,,生態學,,2022-07-15
5454162,aestatifruticeta,夏綠灌叢,,生態學,,2022-07-15
5454163,aestatilignosa,夏綠林,,生態學,,2022-07-15
5454164,aestatisilvae,夏綠喬木林,,生態學,,2022-07-15
