ID,英文名稱,中文名稱,圖片,中國大陸譯名,公告日期,更新日期
2696741,arrhenotoky; arrenotocous parthenogenesis,產雄孤雌生殖；產雄單性生殖,,产雄孤雌生殖,104.11.09,2016-09-13
2696742,artificial reef,人工魚礁,,人工礁；人工鱼礁,104.11.09,2016-09-13
2696743,artificial selection,人擇,,人工选择,104.11.09,2016-09-13
2696744,artificial stocking,人工放養,,人工放牧,104.11.09,2016-09-13
2696745,aseptic culture,無菌培養,,无菌培养,104.11.09,2016-09-13
2696746,asexual reproduction,無性生殖,,无性繁殖；无性生殖,104.11.09,2016-09-13
2696747,ash-free dry weight,無灰乾重,,无灰干重,104.11.09,2016-09-13
2696748,ash-free weight,無灰重量,,无灰重量,104.11.09,2016-09-13
2696749,aspect,季相；方位；方向,,季相,104.11.09,2016-09-13
2696750,aspection,季相；季相變遷,,季相,104.11.09,2016-09-13
2696751,asphyxy,假死,,假死,104.11.09,2016-09-13
2696752,assemblage,集合體；類聚,,集聚,104.11.09,2016-09-13
2696753,assembly,集合體；小群落,,集群,104.11.09,2016-09-13
2696754,assimilation,同化[作用],,同化作用,104.11.09,2016-09-13
2696755,assimilation efficiency{=AE},同化效率,,同化效率,104.11.09,2016-09-13
2696756,assimilation root,同化根；光合根,,同化根,104.11.09,2016-09-13
2696757,assimilation system,同化系統,,同化系统,104.11.09,2016-09-13
2696758,assimilation/respiration ratio{=A/R ratio},同化/呼吸量比{=A/R ratio},,同化呼吸比,104.11.09,2016-09-13
2696759,association,群系,,群丛,104.11.09,2016-09-13
2696760,association coefficient{=AC},關聯係數,,关联系数,104.11.09,2016-09-13
2696761,associations,群屬,,群丛,104.11.09,2016-09-13
2696762,associule,不穩定微生物群系,,演替系列微群落,104.11.09,2016-09-13
2696763,assor[ta]tive breeding,同類育種,,选型育种,104.11.09,2016-09-13
2696764,assortative mating,選擇性交配；同類交配；選型交配,,选型交配,104.11.09,2016-09-13
2696765,astatic,不安定的；不恒有的,,不稳定的,104.11.09,2016-09-13
2696766,asympototic length{=L∞},極限體長,,极限体长,104.11.09,2016-09-13
2696767,asympototic weight{=W∞},極限體重,,极限体重,104.11.09,2016-09-13
2696768,asymptote,漸近線,,渐近线,104.11.09,2016-09-13
2696769,atavism,返祖[現象],,返祖现象,104.11.09,2016-09-13
2696770,athalassic lake,鹽水湖,,盐湖,104.11.09,2016-09-13
2696771,Atlantic period{Atlanticum},大西洋期{七千至四千年前},,大西洋期,104.11.09,2016-09-13
2696772,atmometer,蒸發計,,蒸发计,104.11.09,2016-09-13
2696773,atmosphere,大氣圈,,大气圈,104.11.09,2016-09-13
2696774,atmosphere pollution,大氣污染,,大气污染,104.11.09,2016-09-13
2696775,atmospheric circulation,大氣環流,,大气环流,104.11.09,2016-09-13
2696776,atoll,環礁,,环礁,104.11.09,2016-09-13
2696777,atrio,火山口源,,火口原；锥间谷,104.11.09,2016-09-13
2696778,atrophy,萎縮；減縮現象,,萎缩,104.11.09,2016-09-13
2696779,attractant,誘引物質,,引诱剂,104.11.09,2016-09-13
2696780,attractor,吸子,,吸引子,104.11.09,2016-09-13
2696781,Australasian,澳洲大陸區,,澳洲界 ,104.11.09,2016-09-13
2696782,Austro-Malayan region,澳洲馬來區,,澳大利亚-马来[动物]界,104.11.09,2016-09-13
2696783,autecology; individual ecology,個體生態學,,个体生态学,104.11.09,2016-09-13
2696784,autochore,自動散佈種,,自布植物；自布繁殖体,104.11.09,2016-09-13
2696785,autochory,自動散佈,,自动散播,104.11.09,2016-09-13
2696786,autochthon,本地種,,"乡土种,本地种",104.11.09,2016-09-13
2696787,autoecism,同主寄生,,单主寄生,104.11.09,2016-09-13
2696788,autogamy; idiogamy,自體受精 {動}；自花授粉 {植},,[植]自花受粉；[动]自体受精,104.11.09,2016-09-13
2696789,autogen[et]ic succession,自發性消長；自發性演替,,自发演替,104.11.09,2016-09-13
2696790,autogenetic,自生性；自發性的,,自然发生的,104.11.09,2016-09-13
2696791,autogeny,自然發生,,自然发生,104.11.09,2016-09-13
2696792,autolysis,自溶；自解[作用],,自溶,104.11.09,2016-09-13
2696793,automimicry,種內擬態,,种内拟态,104.11.09,2016-09-13
2696794,autopelagic plankton,表層性浮游生物,,上层浮游生物,104.11.09,2016-09-13
2696795,autophagy,自噬[作用],,自[体吞]噬 ,104.11.09,2016-09-13
2696796,autophyte,自營植物,,自养植物,104.11.09,2016-09-13
2696797,autopolyploid,同源多倍體,,同源多倍体,104.11.09,2016-09-13
2696798,autotomy,自割；自斷,,"自切,自割",104.11.09,2016-09-13
2696799,autotroph{self-feeder},自營生物{自養生物},,自养生物,104.11.09,2016-09-13
2696800,autotrophic,自營性的,,自养的,104.11.09,2016-09-13
2696801,auxiliary energy,補助熱量,,辅助能,104.11.09,2016-09-13
2696802,Availability{=r},可利用度；有效性的,,可用度,104.11.09,2016-09-13
2696803,avalanche,冰崩；雪崩；岩崩；崩落；崩塌；崩瀉,,雪崩；山崩；崩塌,104.11.09,2016-09-13
2696804,average linkage method,平均聯結法；一般聯結法,,平均连接法,104.11.09,2016-09-13
2696805,avifauna,鳥類相,,鸟类区系,104.11.09,2016-09-13
2696806,avoidance,避性,,避性,104.11.09,2016-09-13
2696807,azonal soil,泛域土,,泛域土,104.11.09,2016-09-13
2696808,B horizon,B土層,,B土层,104.11.09,2016-09-13
2696809,back marsh,堤後草澤,,后沼泽,104.11.09,2016-09-13
2696810,back shore,後灘；後濱,,后滨,104.11.09,2016-09-13
2696811,back slough,堤後泥沼,,后沼泽,104.11.09,2016-09-13
2696812,back swamp,堤後林澤,,后沼泽,104.11.09,2016-09-13
2696813,backcross; back-crossing,回交,,回交,104.11.09,2016-09-13
2696814,Bailey's triple catch,貝利三次[標記]重捕法,,贝利三次[标记]重捕法,104.11.09,2016-09-13
2696815,balanced hypothesis,均衡假說,,平衡假说,104.11.09,2016-09-13
2696816,balanced polymorphism,均衡多型性；平衡多態現象,,平衡多态现象,104.11.09,2016-09-13
2696817,balancing selection,平衡[型]天擇,,平衡选择,104.11.09,2016-09-13
2696818,Balanus zone,巨藤壺區,,藤壶区,104.11.09,2016-09-13
2696819,ballochore,彈播,,弹播繁殖体,104.11.09,2016-09-13
2696820,banding,腳環法{動物標識法之一種},,环志,104.11.09,2016-09-13
2696821,barchan dune,鎌狀沙丘；新月沙丘,,蛇形沙丘；新月形沙丘,104.11.09,2016-09-13
2696822,bare area,不毛區；裸地,,不毛区；裸地,104.11.09,2016-09-13
2696823,bare fallow,無草休耕區,,绝对休闲地；无草休闲地,104.11.09,2016-09-13
2696824,bare land,不毛地；裸地,,裸地；不毛之地,104.11.09,2016-09-13
2696825,bare mountain,禿山,,秃山,104.11.09,2016-09-13
2696826,barograph,氣壓計,,气压计,104.11.09,2016-09-13
2696827,barometer,氣壓表,,气压表,104.11.09,2016-09-13
2696828,barophilic,嗜壓性,,嗜压的；适压的,104.11.09,2016-09-13
2696829,barophlic bacteria,嗜壓細菌；嗜壓性細菌,,嗜压细菌,104.11.09,2016-09-13
2696830,barophobic,嫌壓性,,嫌压的；厌压的,104.11.09,2016-09-13
2696831,barotolerant,耐壓性,,耐压的,104.11.09,2016-09-13
2696832,barren,荒原；不毛之地,,荒原,104.11.09,2016-09-13
2696833,barrier,屏障,,障碍；阻限；屏障；沙坯,104.11.09,2016-09-13
2696834,barrier beach,屏障沙灘,,沿岸沙滩,104.11.09,2016-09-13
2696835,barrier effect,屏障效應,,屏障效应,104.11.09,2016-09-13
2696836,barrier reef,堡礁,,堡礁,104.11.09,2016-09-13
2696837,basal area,基底面積,,基盖度；总干面；胸高断面积,104.11.09,2016-09-13
2696838,basal cover[age],基蓋度,,基盖度,104.11.09,2016-09-13
2696839,basal fertilizer,基肥,,基肥,104.11.09,2016-09-13
2696840,Basal Metabolic Rate{=BMR},基礎代謝率,,基础代谢率,104.11.09,2016-09-13
2696841,basal metabolism,基礎代謝,,基础代谢,104.11.09,2016-09-13
2696842,basal species,基位種,,基位种,104.11.09,2016-09-13
2696843,basal zone,基帶,,基[植被]带,104.11.09,2016-09-13
2696844,base exchange capacity,鹽基置換量,,阳离子交换能力,104.11.09,2016-09-13
2696845,base flow,基流量,,基流,104.11.09,2016-09-13
2696846,base level of erosion,侵蝕基準面,,侵蚀基准面,104.11.09,2016-09-13
2696847,baseline,基線,,基线,104.11.09,2016-09-13
2696848,basic metabolic rate{=BMR},基礎代謝率,,基础代谢率,104.11.09,2016-09-13
2696849,basic metabolism{=BM},基礎代謝,,基础代谢,104.11.09,2016-09-13
2696850,basic rock,基性岩,,基性岩,104.11.09,2016-09-13
2696851,basin,盆地,,盆地,104.11.09,2016-09-13
2696852,basophilous vegetation,嗜鹼性植被；適鹼植被,,嗜碱性植被；喜碱植被,104.11.09,2016-09-13
2696853,batch culture,批次培養法,,分批培养,104.11.09,2016-09-13
2696854,Batesian mimicry,貝氏擬態,,贝氏拟态,104.11.09,2016-09-13
2696855,bathophilous,嗜深性,,喜深水的,104.11.09,2016-09-13
2696856,bathyal zone,深海區,,深海[底]带,104.11.09,2016-09-13
2696857,bathypelagic zone,深水層,,深层带,104.11.09,2016-09-13
2696858,behavio[u]ral dimorphism,行為雙型性,,行为二态现象,104.11.09,2016-09-13
2696859,behavio[u]ral ecology,行為生態學,,行为生态学,104.11.09,2016-09-13
2696860,behavio[u]ral polymorphism,行為多型性,,行为多态性,104.11.09,2016-09-13
2696861,behavio[u]rism,行為主義；行為學說,,行为主义,104.11.09,2016-09-13
2696862,belt transect,樣帶,,样带,104.11.09,2016-09-13
2696863,benthal,底棲的,,海底的；水底的,104.11.09,2016-09-13
2696864,benthic,底棲性；底棲的,,海底的；水底的；低栖的,104.11.09,2016-09-13
2696865,benthivores,底食者,,食底栖生物动物,104.11.09,2016-09-13
2696866,bentho[n]ic,底棲性的,,底栖性的,104.11.09,2016-09-13
2696867,benthophyte; phytobenthos,底棲植物,,水底植物,104.11.09,2016-09-13
2696868,benthos,底棲生物,,底栖生物,104.11.09,2016-09-13
2696869,benthos feeder,攝食底棲生物者,,食底栖生物者,104.11.09,2016-09-13
2696870,Bergman`s rule,貝格曼律,,贝格曼律,104.11.09,2016-09-13
2696871,bet hedging,分散風險,,两面下注,104.11.09,2016-09-13
2696872,beta diversity,β多樣性,,β多样性,104.11.09,2016-09-13
2696873,beta richness,β豐富度,,β丰富度,104.11.09,2016-09-13
2696874,biapocrisis,環境反應,,环境反应,104.11.09,2016-09-13
2696875,big-bang reproduction,爆發式生殖；一次產卵性,,爆炸式生殖,104.11.09,2016-09-13
2696876,bimodal distribution,雙峰分佈,,双峰分布；二态分布,104.11.09,2016-09-13
2696877,binary fission,二分裂[生殖],,二分[分]裂,104.11.09,2016-09-13
2696878,binding genera,共存屬,,共存属,104.11.09,2016-09-13
2696879,binding species,共存種,,结合种；联系种,104.11.09,2016-09-13
2696880,binomial distribution,二項分佈,,二项分布,104.11.09,2016-09-13
2696881,bioaccumulation,生物累積,,生物积累,104.11.09,2016-09-13
2696882,bioadhesion,生物黏著,,生物黏着,104.11.09,2016-09-13
2696883,bioaerosol,生物氣溶膠,,生物气溶胶,104.11.09,2016-09-13
2696884,bioassay,生物檢驗；生物檢定；生物分析法,,生物测定,104.11.09,2016-09-13
2696885,bioavailability,生物有效性,,生物有效性；生物可利用性,104.11.09,2016-09-13
2696886,bioc[o]enose; bioc[o]enosis,生物群集；生態系{古字},,生物群落,104.11.09,2016-09-13
2696887,biochemical oxygen demand{=BOD},生化需氧量,,生化需氧量,104.11.09,2016-09-13
2696888,biochore,生物景帶線,,生物景带；生态域,104.11.09,2016-09-13
2696889,biochron,生物年代{地質；地層},,生物年代,104.11.09,2016-09-13
2696890,bioconcentration,生物濃縮[作用],,生物浓缩；生物富集(bioenrichment),104.11.09,2016-09-13
2696891,biocybernetics,生物控制論,,生物控制论,104.11.09,2016-09-13
2696892,biodegradability,生物降解力,,生物可降解性,104.11.09,2016-09-13
2696893,biodegradation,生物降解[作用],,生物降解,104.11.09,2016-09-13
2696894,biodeterioration,生物衰退,,生物退化,104.11.09,2016-09-13
2696895,biodiversity,生物多樣性,,生物多样性,104.11.09,2016-09-13
2696896,biodiversity hotspot,生物多樣性熱點,,生物多样性热点,104.11.09,2016-09-13
2696897,biodiversity informatics,生物多樣性資訊學,,生物多样性信息学,104.11.09,2016-09-13
2696898,bioeconomics,生物經濟學,,生物经济学,104.11.09,2016-09-13
2696899,bioenergetics,生物能量學,,生物能[量]学,104.11.09,2016-09-13
2696900,bioenrichment,生物富集,,生物富集,104.11.09,2016-09-13
2696901,biofacies,化石相,,生物相,104.11.09,2016-09-13
2696902,biofacies map,化石相圖,,生物相图,104.11.09,2016-09-13
2696903,biofilm,生物膜,,生物膜,104.11.09,2016-09-13
2696904,biofilm process,生物膜法,,生物膜法,104.11.09,2016-09-13
2696905,biogenesis,生源[說],,生源说,104.11.09,2016-09-13
2696906,biogenic,生命起源的,,源于生物的,104.11.09,2016-09-13
2696907,biogeochemical cycle,生地化循環,,生物地理化学循环,104.11.09,2016-09-13
2696908,biogeochemistry,生物地理化學,,生物地球化学,104.11.09,2016-09-13
2696909,biogeocoenosis,生物[地理]群集,,生物地理群落,104.11.09,2016-09-13
2696910,biogeography,生物地理學,,生物地理学,104.11.09,2016-09-13
2696911,bioindicator,生物指標,,指示生物,104.11.09,2016-09-13
2696912,biokinetic zone,生物活動區,,生物动态区,104.11.09,2016-09-13
2696913,biological accumulation,生物累積,,生物积累作用,104.11.09,2016-09-13
2696914,biological adsorption,生物吸附作用,,生物吸附,104.11.09,2016-09-13
2696915,biological assay,生物檢定,,生物测定,104.11.09,2016-09-13
2696916,biological clock,生物時鐘,,生物钟,104.11.09,2016-09-13
2696917,biological concentration,生物濃縮,,生物浓缩,104.11.09,2016-09-13
2696918,biological conditioning,生物制約,,生物的环境调节,104.11.09,2016-09-13
2696919,biological contact oxidation reactor,生物接觸氧化槽,,生物接触氧化反应器,104.11.09,2016-09-13
2696920,biological control,生物防治,,生物防治,104.11.09,2016-09-13
2696921,biological deodorant,生物除臭劑,,生物除臭剂,104.11.09,2016-09-13
2696922,biological disc,生物轉盤,,生物转盘,104.11.09,2016-09-13
2696923,biological filter,生物過濾器；生物濾池,,生物滤池,104.11.09,2016-09-13
2696924,biological half-life,生物半衰期,,生物半寿期,104.11.09,2016-09-13
2696925,biological indicator,生物指標,,指示生物,104.11.09,2016-09-13
2696926,biological magnification; biomagnification,生物放大[效應],,生物放大；生物放大作用,104.11.09,2016-09-13
2696927,biological monitoring; biomonitoring,生物監測,,生物监测,104.11.09,2016-09-13
2696928,biological periodism,生物週期性,,生物周期现象,104.11.09,2016-09-13
2696929,biological purification,生物淨化,,生物净化,104.11.09,2016-09-13
2696930,biological pyramid,生物塔,,生物塔,104.11.09,2016-09-13
2696931,biological race,生物族,,生物宗；生物族；生理宗,104.11.09,2016-09-13
2696932,biological removal of nitrogen,生物脫氮,,生物脱氮,104.11.09,2016-09-13
2696933,biological rhythm,生物律動,,生物节律,104.11.09,2016-09-13
2696934,biological safety,生物安全,,生物安全,104.11.09,2016-09-13
2696935,biological spectrum,生物譜,,生物谱,104.11.09,2016-09-13
2696936,biological surfactant,生物表面活性劑；介面活性劑,,生物表面活性剂；生物界面活性剂,104.11.09,2016-09-13
2696937,biological system,生物系統,,生物系统,104.11.09,2016-09-13
2696938,biological transformation,生物轉化作用,,生物转化,104.11.09,2016-09-13
2696939,bioluminescence,生物發光,,生物发光,104.11.09,2016-09-13
2696940,bioluminescent organism,發光生物,,发旋光性生物,104.11.09,2016-09-13
2696941,biomarker,生物標記,,生物标记,104.11.09,2016-09-13
2696942,biomass,生物量；生質量,,生物量,104.11.09,2016-09-13
2696943,biomass fuel; bio-fuel,生質燃料,,生物质燃料,104.11.09,2016-09-13
2696944,biomass increment,生物量增量,,生物量增量,104.11.09,2016-09-13
2696945,biomass/respiration ratio{=B/R ratio},生物量/呼吸量比,,生物量呼吸量比,104.11.09,2016-09-13
2696946,biome,生物群系；生物群區,,生物群系；生物群区,104.11.09,2016-09-13
2696947,biometeorology,生物氣象學,,生物气象学,104.11.09,2016-09-13
2696948,biometrics,生物統計學,,生物统计学,104.11.09,2016-09-13
2696949,biometry,生物統計學,,生物统计学,104.11.09,2016-09-13
2696950,biomineralization,生物礦化；生物礦化作用,,生物矿化,104.11.09,2016-09-13
2696951,bionomic strategy; ecological strategy,生態對策,,生态对策；生活史对策(life history strategy),104.11.09,2016-09-13
2696952,bionomics,生態學,,生态学,104.11.09,2016-09-13
2696953,bio-oxidation,生物氧化[作用],,生物氧化,104.11.09,2016-09-13
2696954,biophage,活食者,,活食者,104.11.09,2016-09-13
2696955,biophysics,生物物理學,,生物物理学,104.11.09,2016-09-13
2696956,bio-reduction,生物還原作用,,生物还原作用,104.11.09,2016-09-13
2696957,bioregion,生物區,,生物区,104.11.09,2016-09-13
2696958,bioremediation,生物修復,,生物修复,104.11.09,2016-09-13
2696959,bioscrubber,生物滌氣器；生物洗滌塔,,生物涤气器,104.11.09,2016-09-13
2696960,bioseston,生物懸浮物,,生物悬浮物,104.11.09,2016-09-13
